"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R5,R2,R4";"RESC1607X60N";4;"10K";;;
2;"C8,C7";"CAPC1608X90N_SAMSUNG";2;"6P";;;
3;"C5,C4,C3,C6";"CAPC1608X90N_SAMSUNG";4;"1u";;;
4;"SW1";"SW_TS-1187A-B-A-B";1;"TS-1187A-B-A-B";;;
5;"D1";"CR_SOD-123FL_SME";1;"1N4007FL";;;
6;"RV1";"VARS_B72214S_15P5X5P6-7P5-2P2_TDK";1;"S14K350";;;
7;"J1";"CUI_TB002-500-03BE";1;"TB002-500-03BE";;;
8;"SW2";"SW_JS102011SAQN";1;"SW_SPDT";;;
9;"PS101";"Converter_ACDC_HiLink_HLK-PMxx";1;"HLK-PM01";;;
10;"J2";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x14";;;
11;"U3";"XCVR_ESP32-C3-MINI-1U-N4";1;"ESP32-C3-MINI-1U-H4";;;
12;"K1";"Relay_SPDT_Omron-G5LE-1";1;"G5LE-14 DC5";;;
13;"Q1";"DMN65D8L-7_MOSFET";1;"Q_NMOS_GSD";;;
14;"Y1";"XTAL_FC-135R_32.7680KA-AG0";1;"32K768";;;
15;"U2";"SOT-23-5";1;"AP2112K-3.3TRG1";;;
